ibu_id,nama_ibu,tanggal_lahir,pendidikan,pekerjaan,alamat
I000001,Ibu_1,2008-09-06,SMP,Petani,"Desa_105, Jember"
I000002,Ibu_2,1984-12-29,Tidak Sekolah,IRT,"Desa_183, Jember"
I000003,Ibu_3,1981-02-13,SMA,Petani,"Desa_65, Jember"
I000004,Ibu_4,1992-05-03,S1,Karyawan,"Desa_53, Jember"
I000005,Ibu_5,1990-12-26,S1,IRT,"Desa_21, Jember"
I000006,Ibu_6,1990-01-05,SMP,Petani,"Desa_114, Jember"
I000007,Ibu_7,1986-04-05,S1,Petani,"Desa_36, Jember"
I000008,Ibu_8,1984-08-06,SMA,IRT,"Desa_199, Jember"
I000009,Ibu_9,2010-05-10,SMA,Tidak Bekerja,"Desa_21, Jember"
I000010,Ibu_10,2004-06-18,SMP,Tidak Bekerja,"Desa_189, Jember"
I000011,Ibu_11,1983-11-25,SMA,Karyawan,"Desa_15, Jember"
I000012,Ibu_12,2006-06-27,Tidak Sekolah,Karyawan,"Desa_166, Jember"
I000013,Ibu_13,1998-12-04,S1,Petani,"Desa_168, Jember"
I000014,Ibu_14,1981-06-04,SMA,IRT,"Desa_72, Jember"
I000015,Ibu_15,1981-05-03,SMP,IRT,"Desa_102, Jember"
I000016,Ibu_16,1984-03-15,SD,Petani,"Desa_54, Jember"
I000017,Ibu_17,1989-10-22,SMA,Tidak Bekerja,"Desa_198, Jember"
I000018,Ibu_18,1990-06-08,D3,Pedagang,"Desa_18, Jember"
I000019,Ibu_19,2002-09-01,SD,Tidak Bekerja,"Desa_19, Jember"
I000020,Ibu_20,2007-01-02,SD,IRT,"Desa_135, Jember"
I000021,Ibu_21,1981-03-10,SD,Petani,"Desa_178, Jember"
I000022,Ibu_22,2005-03-05,D3,IRT,"Desa_99, Jember"
I000023,Ibu_23,1988-12-01,D3,Karyawan,"Desa_196, Jember"
I000024,Ibu_24,2012-02-13,S1,Karyawan,"Desa_187, Jember"
I000025,Ibu_25,2009-02-24,S1,Pedagang,"Desa_117, Jember"
I000026,Ibu_26,2011-06-17,SD,Karyawan,"Desa_5, Jember"
I000027,Ibu_27,2004-06-11,Tidak Sekolah,Tidak Bekerja,"Desa_167, Jember"
I000028,Ibu_28,1998-10-26,SD,IRT,"Desa_18, Jember"
I000029,Ibu_29,1989-11-20,D3,IRT,"Desa_145, Jember"
I000030,Ibu_30,2000-02-24,S1,IRT,"Desa_138, Jember"
I000031,Ibu_31,2006-06-07,D3,IRT,"Desa_127, Jember"
I000032,Ibu_32,1992-06-23,S1,Tidak Bekerja,"Desa_137, Jember"
I000033,Ibu_33,1980-04-16,SD,IRT,"Desa_54, Jember"
I000034,Ibu_34,1987-02-28,SD,Karyawan,"Desa_90, Jember"
I000035,Ibu_35,2011-04-26,S1,Karyawan,"Desa_6, Jember"
I000036,Ibu_36,1998-12-16,D3,Pedagang,"Desa_175, Jember"
I000037,Ibu_37,1995-04-06,Tidak Sekolah,Petani,"Desa_82, Jember"
I000038,Ibu_38,1992-06-18,D3,Petani,"Desa_78, Jember"
I000039,Ibu_39,1986-12-22,D3,Pedagang,"Desa_76, Jember"
I000040,Ibu_40,1989-08-28,SMA,Pedagang,"Desa_93, Jember"
I000041,Ibu_41,1995-02-05,SD,Tidak Bekerja,"Desa_159, Jember"
I000042,Ibu_42,1984-08-01,Tidak Sekolah,Petani,"Desa_49, Jember"
I000043,Ibu_43,1984-02-28,SMP,Pedagang,"Desa_28, Jember"
I000044,Ibu_44,1997-01-15,D3,Petani,"Desa_141, Jember"
I000045,Ibu_45,1984-05-03,S1,Tidak Bekerja,"Desa_28, Jember"
I000046,Ibu_46,1996-02-07,SMA,Karyawan,"Desa_57, Jember"
I000047,Ibu_47,1995-06-06,Tidak Sekolah,IRT,"Desa_25, Jember"
I000048,Ibu_48,2007-01-30,Tidak Sekolah,Pedagang,"Desa_39, Jember"
I000049,Ibu_49,1991-11-12,SMP,IRT,"Desa_92, Jember"
I000050,Ibu_50,1981-12-12,Tidak Sekolah,Pedagang,"Desa_75, Jember"
I000051,Ibu_51,2012-09-24,SMP,Pedagang,"Desa_114, Jember"
I000052,Ibu_52,2000-08-10,Tidak Sekolah,Karyawan,"Desa_1, Jember"
I000053,Ibu_53,2004-01-20,SMP,Pedagang,"Desa_148, Jember"
I000054,Ibu_54,1985-08-07,S1,Karyawan,"Desa_149, Jember"
I000055,Ibu_55,1996-12-23,SMA,Tidak Bekerja,"Desa_128, Jember"
I000056,Ibu_56,1983-07-15,SMA,IRT,"Desa_50, Jember"
I000057,Ibu_57,2004-10-05,S1,IRT,"Desa_66, Jember"
I000058,Ibu_58,1993-02-24,Tidak Sekolah,Karyawan,"Desa_27, Jember"
I000059,Ibu_59,2008-03-13,SMA,IRT,"Desa_61, Jember"
I000060,Ibu_60,2007-09-29,SMP,Tidak Bekerja,"Desa_92, Jember"
I000061,Ibu_61,1996-03-22,SD,Karyawan,"Desa_167, Jember"
I000062,Ibu_62,2005-11-24,SD,IRT,"Desa_6, Jember"
I000063,Ibu_63,1988-08-16,D3,Petani,"Desa_88, Jember"
I000064,Ibu_64,2011-08-09,D3,Karyawan,"Desa_72, Jember"
I000065,Ibu_65,1983-02-13,D3,Petani,"Desa_178, Jember"
I000066,Ibu_66,1982-01-20,D3,Tidak Bekerja,"Desa_2, Jember"
I000067,Ibu_67,2009-08-30,SMP,Petani,"Desa_116, Jember"
I000068,Ibu_68,1990-03-22,SMA,IRT,"Desa_106, Jember"
I000069,Ibu_69,1992-12-24,SMA,Pedagang,"Desa_66, Jember"
I000070,Ibu_70,1983-07-31,SD,IRT,"Desa_193, Jember"
I000071,Ibu_71,1990-06-11,SMP,IRT,"Desa_124, Jember"
I000072,Ibu_72,1984-07-12,SMP,Tidak Bekerja,"Desa_29, Jember"
I000073,Ibu_73,1997-01-18,Tidak Sekolah,Petani,"Desa_167, Jember"
I000074,Ibu_74,1992-06-20,SMA,Tidak Bekerja,"Desa_143, Jember"
I000075,Ibu_75,2000-05-03,SD,IRT,"Desa_175, Jember"
I000076,Ibu_76,2008-07-07,SD,Tidak Bekerja,"Desa_99, Jember"
I000077,Ibu_77,1996-05-13,D3,Petani,"Desa_178, Jember"
I000078,Ibu_78,1987-04-18,SMP,Pedagang,"Desa_34, Jember"
I000079,Ibu_79,1996-08-09,D3,Tidak Bekerja,"Desa_162, Jember"
I000080,Ibu_80,1995-12-08,SMA,IRT,"Desa_151, Jember"
I000081,Ibu_81,1989-05-25,SMA,Petani,"Desa_70, Jember"
I000082,Ibu_82,2010-01-23,SMP,Petani,"Desa_50, Jember"
I000083,Ibu_83,1991-12-23,D3,Petani,"Desa_105, Jember"
I000084,Ibu_84,2011-06-25,SMP,IRT,"Desa_141, Jember"
I000085,Ibu_85,2010-08-30,SMA,Karyawan,"Desa_177, Jember"
I000086,Ibu_86,2009-01-25,SD,IRT,"Desa_29, Jember"
I000087,Ibu_87,1983-03-15,D3,IRT,"Desa_49, Jember"
I000088,Ibu_88,2007-04-29,S1,Pedagang,"Desa_23, Jember"
I000089,Ibu_89,2008-06-25,SMA,Tidak Bekerja,"Desa_76, Jember"
I000090,Ibu_90,1987-09-04,SMP,Petani,"Desa_86, Jember"
I000091,Ibu_91,2003-12-17,S1,Petani,"Desa_60, Jember"
I000092,Ibu_92,2012-09-15,SD,Pedagang,"Desa_193, Jember"
